,ГОСТ,Размер,Наименование,Компания,Город,Тип_продукции,Размер_A,Типоразмер,Марка,Примечание_для_размера,Размер_B,Толщина,Диапазон_min,Диапазон_max,Размер_C,Минимальная_длина,Максимальная_длина,Упаковка,Примечание_для_цены,Тип_материала,Основная_марка,Свариваемость,Тип_стандарта,Номер_стандарта,Год_стандарта,Категория_цены,Звоните,Цена,Условие_цены
82,,18,Арматура А1,Омега Металл,Москва,Число,18.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,45500.0,
83,ГОСТ 34028-2016,6,Арматура А1,Сталепромышленная компания,Москва,Число,6.0,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,48500.0,>1т
84,ГОСТ 34028-2016,8,Арматура А1,Сталепромышленная компания,Москва,Число,8.0,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,47500.0,>1т
85,ГОСТ 34028-2016,8,Арматура А1,Сталепромышленная компания,Москва,Число,8.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,46000.0,>1т
86,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Москва,Число,10.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,47500.0,>1т
87,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Москва,Число,10.0,,,,,,,,,6.0,6.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,47500.0,>1т
88,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Москва,Число,10.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,46000.0,>1т
89,ГОСТ 34028-2016,12,Арматура А1,Сталепромышленная компания,Москва,Число,12.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,48000.0,>1т
90,ГОСТ 34028-2016,6,Арматура А1,Сталепромышленная компания,Москва,Число,6.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,46500.0,>1т
91,,16,Арматура А1,Омега Металл,Москва,Число,16.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,46000.0,
92,,14,Арматура А1,Омега Металл,Москва,Число,14.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,46000.0,
93,,12,Арматура А1,Омега Металл,Москва,Число,12.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,47000.0,
94,,8,Арматура А1,Мечел-Сервис,Москва,Число,8.0,,,,,,,,,,,бухты,,Сталь,3сп,0,не указан,,0,р./т,True,,
95,,10,Арматура А1,Мечел-Сервис,Москва,Число,10.0,,,,,,,,,11.7,11.7,,,Сталь,3сп,0,не указан,,0,р./т,True,,
96,,10,Арматура А1,Мечел-Сервис,Москва,Число,10.0,,,,,,,,,,,бухты,,Сталь,3сп,0,не указан,,0,р./т,True,,
97,,12,Арматура А1,Мечел-Сервис,Москва,Число,12.0,,,,,,,,,,,бухты,,Сталь,3сп,0,не указан,,0,р./т,True,,
98,,12,Арматура А1,Мечел-Сервис,Москва,Число,12.0,,,,,,,,,11.7,11.7,,,Сталь,3сп,0,не указан,,0,р./т,True,,
99,,20,Арматура А1,Мечел-Сервис,Москва,Число,20.0,,,,,,,,,11.7,11.7,,,Сталь,3сп,0,не указан,,0,р./т,True,,
100,,22,Арматура А1,Мечел-Сервис,Москва,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,не указан,,0,р./т,True,,
101,,6,Арматура А1,Омега Металл,Москва,Число,6.0,,,,,,,,,6.0,6.0,,,Сталь,ст3,0,не указан,,0,р./т,False,48000.0,
102,,6,Арматура А1,Омега Металл,Москва,Число,6.0,,,,,,,,,,,бухты,,Сталь,ст3,0,не указан,,0,р./т,False,46000.0,
103,,8,Арматура А1,Омега Металл,Москва,Число,8.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,47500.0,
104,,8,Арматура А1,Омега Металл,Москва,Число,8.0,,,,,,,,,6.0,6.0,,,Сталь,ст3,0,не указан,,0,р./т,False,47500.0,
105,,8,Арматура А1,Омега Металл,Москва,Число,8.0,,,,,,,,,,,бухты,,Сталь,ст3,0,не указан,,0,р./т,False,46000.0,
106,,10,Арматура А1,Омега Металл,Москва,Число,10.0,,,,,,,,,11.7,11.7,,,Сталь,ст3,0,не указан,,0,р./т,False,47000.0,
107,,10,Арматура А1,Омега Металл,Москва,Число,10.0,,,,,,,,,6.0,6.0,,,Сталь,ст3,0,не указан,,0,р./т,False,47000.0,
108,,10,Арматура А1,Омега Металл,Москва,Число,10.0,,,,,,,,,,,бухты,,Сталь,ст3,0,не указан,,0,р./т,False,46000.0,
109,ГОСТ 5781-82,12,Арматура А1,Сталепромышленная компания,Москва,Число,12.0,,,,,,,,,6.0,6.0,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,48000.0,>1т
110,ГОСТ 34028-2016,12,Арматура А1,Сталепромышленная компания,Москва,Число,12.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,46000.0,>1т
111,ГОСТ 34028-2016,14,Арматура А1,Сталепромышленная компания,Москва,Число,14.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,48000.0,>1т
112,ГОСТ 34028-2016,16,Арматура А1,Сталепромышленная компания,Москва,Число,16.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,48000.0,>1т
113,ГОСТ 34028-2016,25,Арматура А1,Сталепромышленная компания,Абакан,Число,25.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,58000.0,>10т
114,ГОСТ 34028-2016,28,Арматура А1,Сталепромышленная компания,Абакан,Число,28.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,58000.0,>10т
115,,12,Арматура А1,УралСибТрейд,Москва,Число,12.0,,,,,,,,,,,бухты,,Сталь,ст3,0,не указан,,0,р./т,False,45900.0,
116,ГОСТ 34028-2016,28,Арматура А1,Сталепромышленная компания,Волгоград,Число,28.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
117,ГОСТ 34028-2016,25,Арматура А1,Сталепромышленная компания,Волгоград,Число,25.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
118,ГОСТ 34028-2016,22,Арматура А1,Сталепромышленная компания,Волгоград,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
119,ГОСТ 34028-2016,20,Арматура А1,Сталепромышленная компания,Волгоград,Число,20.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
120,ГОСТ 34028-2016,18,Арматура А1,Сталепромышленная компания,Волгоград,Число,18.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
121,ГОСТ 34028-2016,16,Арматура А1,Сталепромышленная компания,Волгоград,Число,16.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
122,ГОСТ 34028-2016,14,Арматура А1,Сталепромышленная компания,Волгоград,Число,14.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
123,ГОСТ 34028-2016,12,Арматура А1,Сталепромышленная компания,Волгоград,Число,12.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,52300.0,>10т
124,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Волгоград,Число,10.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,50300.0,>10т
125,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Волгоград,Число,10.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,50300.0,>10т
126,ГОСТ 34028-2016,10,Арматура А1,Сталепромышленная компания,Волгоград,Число,10.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,50300.0,>10т
127,ГОСТ 34028-2016,8,Арматура А1,Сталепромышленная компания,Волгоград,Число,8.0,,,,,,,,,,,бухты,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,50800.0,>10т
128,ГОСТ 5781-82,25,Арматура А1,Сталепромышленная компания,Абакан,Число,25.0,,,,,,,,,12.0,12.0,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,58000.0,>10т
129,ГОСТ 34028-2016,8,Арматура А1,Сталепромышленная компания,Волгоград,Число,8.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,50800.0,>10т
130,ГОСТ 34028-2016,22,Арматура А1,Сталепромышленная компания,Абакан,Число,22.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,58000.0,>10т
131,ГОСТ 34028-2016,18,Арматура А1,Сталепромышленная компания,Абакан,Число,18.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,58000.0,>10т
132,ГОСТ 34028-2016,18,Арматура А1,Сталепромышленная компания,Москва,Число,18.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,48000.0,>1т
133,ГОСТ 34028-2016,20,Арматура А1,Сталепромышленная компания,Москва,Число,20.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,48000.0,>1т
134,ГОСТ 34028-2016,22,Арматура А1,Сталепромышленная компания,Москва,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,48000.0,>1т
135,ГОСТ 34028-2016,25,Арматура А1,Сталепромышленная компания,Москва,Число,25.0,,,,,,,,,12.0,12.0,,,Сталь,а240,0,ГОСТ,34028,0,р./т,False,48000.0,>1т
