,ГОСТ,"Цена, р./пог.м","Цена, р./кг",Размер,"Цена, р./шт.","Цена, р./т",Доп. размер,Наименование,Сталь,"Цена, р./м2",Компания,Город
15910, ГОСТ 8509-93 ,,, 80х80х8,,61 100 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15911, ГОСТ 8509-93 ,,, 80х80х6,,72 320 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15912, ГОСТ 8509-93 ,,, 80х80х7,,70 790 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15913, ГОСТ 8509-93 ,,, 80х80х8,,72 830 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15914, ГОСТ 8509-93 ,,, 80х80х8,,70 790 >10т,6,Уголок  ,09Г2С,,Сталепромышленная компания,Екатеринбург
15915, ГОСТ 8509-93 ,,, 90х90х6,,62 120 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15916, ГОСТ 8509-93 ,,, 90х90х6,,61 100 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15917, ГОСТ 8509-93 ,,, 90х90х7,,59 060 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15918, ГОСТ 8509-93 ,,, 80х80х6,,70 280 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15919, ГОСТ 8509-93 ,,, 40х40х4,,57 530 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15920, ГОСТ 8509-93 ,,, 75х75х5,,70 790 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15921, ГОСТ 8509-93 ,,, 75х75х9,,62 120 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15922, ГОСТ 8509-93 ,,, 70х70х5,,71 810 >10т,12,Уголок  ,С345,,Сталепромышленная компания,Екатеринбург
15923, ГОСТ 8509-93 ,,, 70х70х6,,71 300 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15924, ГОСТ 8510-86 ,,, 75х50х5,,91 700 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15925, GB/T 706-16 ,,, 75х50х5,,76 400 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Екатеринбург
15926, ГОСТ 8510-86 ,,, 75х50х6,,91 700 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15927, GB/T 706-16 ,,, 75х50х6,,76 400 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Екатеринбург
15928, ГОСТ 8509-93 ,,, 75х75х5,,62 120 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15929, ГОСТ 8509-93 ,,, 75х75х5,,70 790 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15930, ГОСТ 8509-93 ,,, 75х75х5,,62 120 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15931, ГОСТ 8509-93 ,,, 75х75х6,,60 590 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15932, ГОСТ 8509-93 ,,, 80х80х8,,63 900 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Волгоград
15933, ГОСТ 8509-93 ,,, 75х75х7,,63 140 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15934, ГОСТ 8509-93 ,,, 75х75х7,,63 140 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15935, ГОСТ 8509-93 ,,, 75х75х8,,61 100 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15936, ГОСТ 8509-93 ,,, 75х75х8,,61 100 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15937, ГОСТ 8509-93 ,,, 75х75х9,,62 120 >10т,6,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15938, ГОСТ 8509-93 ,,, 75х75х6,,62 120 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15939, ГОСТ 8509-93 ,,, 90х90х8,,64 200 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Кемерово
15940, ГОСТ 8509-93 ,,, 40х40х3,,62 630 >10т,12,Уголок  ,3пс5/сп5,,Сталепромышленная компания,Екатеринбург
15941, ГОСТ 8509-93 ,,, 35х35х4,,90 680 >10т,6,Уголок  ,09Г2С-15,,Сталепромышленная компания,Екатеринбург
15942, ГОСТ 8509-93 ,,, 140х140х9,,128 150 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15943, ГОСТ 8509-93 ,,, 140х140х10,,128 150 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15944, ГОСТ 8509-93 ,,, 140х140х12,,128 150 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15945, ГОСТ 8509-93 ,,, 140х140х9,,136 600 >10т,12,Уголок  ,С355,,Сталепромышленная компания,Кемерово
15946, ГОСТ 8509-93 ,,, 140х140х10,,136 600 >10т,12,Уголок  ,С355,,Сталепромышленная компания,Кемерово
15947, ГОСТ 8510-86 ,,, 160х100х10,,129 500 >10т,12,Уголок  ,3пс/сп,,Сталепромышленная компания,Кемерово
15948, ГОСТ 8510-86 ,,, 160х100х10,,129 500 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15949, ГОСТ 8509-93 ,,, 160х160х10,,128 150 >10т,12,Уголок  ,3пс/сп,,Сталепромышленная компания,Кемерово
15950, ГОСТ 8509-93 ,,, 160х160х10,,128 150 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15951, ГОСТ 8509-93 ,,, 160х160х12,,128 150 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15952, ГОСТ 8509-93 ,,, 160х160х16,,128 150 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
15953, ГОСТ 8509-93 ,,, 160х160х10,,136 600 >10т,12,Уголок  ,С355,,Сталепромышленная компания,Кемерово
15954, ГОСТ 8509-93 ,,, 160х160х10,,136 600 >10т,12,Уголок  ,С345,,Сталепромышленная компания,Кемерово
15955, ГОСТ 8509-93 ,,, 180х180х11,,138 950 >10т,12,Уголок  ,С355,,Сталепромышленная компания,Кемерово
15956, ГОСТ 8509-93 ,,, 180х180х12,,138 950 >10т,12,Уголок  ,С355,,Сталепромышленная компания,Кемерово
15957, ГОСТ 8509-93 ,,, 125х125х10,,76 500 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Кемерово
15958, ГОСТ 8509-93 ,,, 125х125х10,,76 500 >10т,10.75,Уголок  ,09Г2С-14,,Сталепромышленная компания,Кемерово
15959, ГОСТ 8509-93 ,,, 125х125х9,,76 500 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Кемерово
15960, ГОСТ 8509-93 ,,, 125х125х8,,76 500 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Кемерово
15961, ГОСТ 8509-93 ,,, 90х90х7,,75 800 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Кемерово
15962, ГОСТ 8509-93 ,,, 90х90х8,,75 800 >10т,12,Уголок  ,09Г2С-15,,Сталепромышленная компания,Кемерово
15963, GB/T 706-16 ,,, 100х63х6,,114 300 >10т,12,Уголок  ,С255,,Сталепромышленная компания,Кемерово
